time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-06T19:55:38.990Z,34.0035,-117.0145,16.5,1.08,ml,33,52,0.07655,0.22,ci,ci38316824,2018-10-06T19:59:15.067Z,"4km ENE of Calimesa, CA",earthquake,0.36,0.9,0.218,29,automatic,ci,ci
2018-10-06T19:43:14.930Z,38.8256683,-122.8554993,2.14,1.14,md,7,134,0.002159,0.02,nc,nc73094596,2018-10-06T20:07:03.205Z,"10km WNW of The Geysers, CA",earthquake,0.62,1.19,,1,automatic,nc,nc
2018-10-06T19:39:52.570Z,36.2871666,-120.7431641,8.82,1.34,md,10,187,0.08522,0.2,nc,nc73094591,2018-10-06T19:56:03.133Z,"16km SSW of New Idria, CA",earthquake,1.03,2.6,0.26,4,automatic,nc,nc
2018-10-06T19:37:09.720Z,33.5061667,-116.8001667,3.78,0.67,ml,22,72,0.006189,0.21,ci,ci38316816,2018-10-06T19:40:51.032Z,"9km NE of Aguanga, CA",earthquake,0.34,0.73,0.14,21,automatic,ci,ci
2018-10-06T19:31:43.840Z,33.3475,-117.1111667,11.7,1.04,ml,19,116,0.1316,0.29,ci,ci38316808,2018-10-06T19:35:32.229Z,"4km WSW of Pala, CA",earthquake,0.7,4.19,0.2,19,automatic,ci,ci
2018-10-06T19:29:42.000Z,65.025,-147.7344,0.2,1.1,ml,,,,1.09,ak,ak20272173,2018-10-06T19:36:28.870Z,"19km N of College, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-10-06T18:50:30.477Z,62.9998,-149.4515,88,1.9,ml,,,,0.57,ak,ak20272162,2018-10-06T18:55:46.977Z,"50km SSW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-10-06T18:34:55.405Z,68.4545,-145.2257,2.8,2,ml,,,,1.03,ak,ak20272160,2018-10-06T18:39:30.167Z,"38km NNE of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-06T18:25:07.650Z,40.9324989,-122.366333,16.92,2.57,md,18,89,0.1887,0.06,nc,nc73094581,2018-10-06T19:12:22.028Z,"28km N of Shasta Lake, CA",earthquake,0.43,1.35,0.07,17,automatic,nc,nc
2018-10-06T18:08:39.730Z,19.4148331,-155.2768402,-0.8,1.93,ml,11,73,0.0099,0.15,hv,hv70635637,2018-10-06T18:14:29.730Z,"4km WSW of Volcano, Hawaii",earthquake,0.46,0.26,0.28,13,automatic,hv,hv
2018-10-06T18:08:38.930Z,19.4109993,-155.2779999,0.95,1.93,ml,22,50,0.008778,0.1,hv,hv70635632,2018-10-06T18:14:21.380Z,"4km WSW of Volcano, Hawaii",earthquake,0.19,0.15,0.24,13,automatic,hv,hv
2018-10-06T18:08:29.590Z,19.4033337,-155.2845001,-0.09,1.93,ml,11,68,0.01295,0.08,hv,hv70635627,2018-10-06T18:14:17.660Z,"5km WSW of Volcano, Hawaii",earthquake,0.15,0.37,0.37,13,automatic,hv,hv
2018-10-06T18:01:47.017Z,62.8532,-150.2389,67.9,1.6,ml,,,,1.15,ak,ak20272158,2018-10-06T18:06:09.594Z,"59km N of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-10-06T17:36:02.034Z,61.2615,-150.6745,50.5,1.4,ml,,,,0.53,ak,ak20272152,2018-10-06T17:39:23.409Z,"41km W of Anchorage, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-10-06T17:19:00.700Z,38.7989998,-122.7939987,6.41,1.07,md,8,162,0.05679,0.04,nc,nc73094571,2018-10-06T18:14:02.553Z,"4km NW of The Geysers, CA",earthquake,1.14,2.31,,1,automatic,nc,nc
2018-10-06T17:14:43.369Z,68.5205,-147.1039,0,1.6,ml,,,,1.32,ak,ak20272145,2018-10-06T17:21:04.277Z,"78km NW of Arctic Village, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-10-06T17:13:34.750Z,38.8178329,-122.7926636,2.92,1.14,md,27,33,0.01006,0.03,nc,nc73094566,2018-10-06T17:46:02.393Z,"6km NW of The Geysers, CA",earthquake,0.21,0.38,0.09,6,automatic,nc,nc
2018-10-06T16:53:08.126Z,60.96,-150.9379,8.4,2.5,ml,,,,0.68,ak,ak20272135,2018-10-06T16:59:16.441Z,"35km NNE of Nikiski, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-10-06T16:28:48.795Z,60.4956,-143.6996,1.1,1.5,ml,,,,0.85,ak,ak20272120,2018-10-06T16:40:38.798Z,"84km NW of Cape Yakataga, Alaska",earthquake,,0.4,,,automatic,ak,ak
